id,ac_no,topic_id,title
28011,1,20,Voter turnout expected to touch record highs in Valmiki Nagar
28012,1,135,High stakes battle in Valmiki Nagar as rival candidates file affidavits
28013,1,135,High stakes battle in Valmiki Nagar as rival candidates file affidavits
28014,1,10,Flood protection works in Valmiki Nagar inspected by state cabinet delegation
28015,1,20,Voter turnout expected to touch record highs in Valmiki Nagar
28016,1,3,Women voters of Valmiki Nagar demand better primary healthcare and clean water
28017,1,20,Voter turnout expected to touch record highs in Valmiki Nagar
28018,1,3,Women voters of Valmiki Nagar demand better primary healthcare and clean water
28019,1,1,Welfare scheme execution becomes election issue in Valmiki Nagar
28020,1,1,Welfare scheme execution becomes election issue in Valmiki Nagar
28021,1,10,Flood protection works in Valmiki Nagar inspected by state cabinet delegation
28022,1,16,Independent candidates emerge as spoilers in Valmiki Nagar triangular contest
28023,1,0,Bihar Elections 2025: Key issues dominate debates in Valmiki Nagar
28024,1,10,Flood protection works in Valmiki Nagar inspected by state cabinet delegation
28025,1,10,Flood protection works in Valmiki Nagar inspected by state cabinet delegation
28026,1,16,Independent candidates emerge as spoilers in Valmiki Nagar triangular contest
28027,1,135,High stakes battle in Valmiki Nagar as rival candidates file affidavits
28028,1,1,Welfare scheme execution becomes election issue in Valmiki Nagar
28029,1,26,Political rally in Valmiki Nagar draws massive crowds ahead of voting day
28030,1,1,Welfare scheme execution becomes election issue in Valmiki Nagar
28031,1,16,Independent candidates emerge as spoilers in Valmiki Nagar triangular contest
28032,2,31,Flood protection works in Ramnagar inspected by state cabinet delegation
28033,2,19,Political rally in Ramnagar draws massive crowds ahead of voting day
28034,2,91,Welfare scheme execution becomes election issue in Ramnagar
28035,2,23,High stakes battle in Ramnagar as rival candidates file affidavits
28036,2,58,Bihar Elections 2025: Key issues dominate debates in Ramnagar
28037,2,19,Political rally in Ramnagar draws massive crowds ahead of voting day
28038,2,58,Bihar Elections 2025: Key issues dominate debates in Ramnagar
28039,2,23,High stakes battle in Ramnagar as rival candidates file affidavits
28040,2,91,Welfare scheme execution becomes election issue in Ramnagar
28041,2,91,Welfare scheme execution becomes election issue in Ramnagar
28042,2,35,Voter turnout expected to touch record highs in Ramnagar
28043,2,31,Flood protection works in Ramnagar inspected by state cabinet delegation
28044,2,91,Welfare scheme execution becomes election issue in Ramnagar
28045,2,31,Flood protection works in Ramnagar inspected by state cabinet delegation
28046,2,72,Independent candidates emerge as spoilers in Ramnagar triangular contest
28047,2,58,Bihar Elections 2025: Key issues dominate debates in Ramnagar
28048,2,102,Women voters of Ramnagar demand better primary healthcare and clean water
28049,2,102,Women voters of Ramnagar demand better primary healthcare and clean water
28050,2,31,Flood protection works in Ramnagar inspected by state cabinet delegation
28051,2,67,Economic survey reports positive growth in Ramnagar assembly segment
28052,2,31,Flood protection works in Ramnagar inspected by state cabinet delegation
28053,3,21,Political rally in Narkatiaganj draws massive crowds ahead of voting day
28054,3,111,Women voters of Narkatiaganj demand better primary healthcare and clean water
28055,3,-1,Voter turnout expected to touch record highs in Narkatiaganj
28056,3,-1,Voter turnout expected to touch record highs in Narkatiaganj
28057,3,-1,High stakes battle in Narkatiaganj as rival candidates file affidavits
28058,3,57,Welfare scheme execution becomes election issue in Narkatiaganj
28059,3,-1,Economic survey reports positive growth in Narkatiaganj assembly segment
28060,3,-1,Voter turnout expected to touch record highs in Narkatiaganj
28061,3,105,Flood protection works in Narkatiaganj inspected by state cabinet delegation
28062,3,57,Welfare scheme execution becomes election issue in Narkatiaganj
28063,3,105,Flood protection works in Narkatiaganj inspected by state cabinet delegation
28064,3,11,Bihar Elections 2025: Key issues dominate debates in Narkatiaganj
